CACHESTORE_BROKERDSH,0,0,0,0,0
CACHESTORE_BROKERKEK,0,0,0,0,0
CACHESTORE_BROKERREADONLY,0,0,0,0,0
CACHESTORE_BROKERRSB,0,0,0,0,0
CACHESTORE_BROKERTBLACS,0,0,0,0,0
CACHESTORE_BROKERTO,0,0,0,0,0
CACHESTORE_BROKERUSERCERTLOOKUP,0,0,0,0,0
CACHESTORE_CONVPRI,0,0,0,0,0
CACHESTORE_EVENTS,0,0,0,0,0
CACHESTORE_FULLTEXTSTOPLIST,0,0,0,0,0
CACHESTORE_NOTIF,0,0,0,0,0
CACHESTORE_OBJCP,0,0,0,0,0
CACHESTORE_PHDR,0,0,0,0,0
CACHESTORE_SQLCP,0,0,0,0,0
CACHESTORE_STACKFRAMES,0,0,0,0,0
CACHESTORE_SYSTEMROWSET,0,0,0,0,0
CACHESTORE_TEMPTABLES,0,0,0,0,0
CACHESTORE_VIEWDEFINITIONS,0,0,0,0,0
CACHESTORE_XMLDBATTRIBUTE,0,0,0,0,0
CACHESTORE_XMLDBELEMENT,0,0,0,0,0
CACHESTORE_XMLDBTYPE,0,0,0,0,0
CACHESTORE_XPROC,0,0,0,0,0
MEMORYCLERK_BHF,0,0,0,0,0
MEMORYCLERK_FULLTEXT,0,0,0,0,0
MEMORYCLERK_FULLTEXT_SHMEM,0,0,0,288,288
MEMORYCLERK_HOST,0,0,0,0,0
MEMORYCLERK_QSRANGEPREFETCH,0,0,0,0,0
MEMORYCLERK_SNI,0,0,0,0,0
MEMORYCLERK_SOSNODE,0,0,0,0,0
MEMORYCLERK_SQLBUFFERPOOL,24821760,32768,401408,0,0
MEMORYCLERK_SQLCLR,0,0,0,0,0
MEMORYCLERK_SQLCLRASSEMBLY,0,0,0,0,0
MEMORYCLERK_SQLCONNECTIONPOOL,0,0,0,0,0
MEMORYCLERK_SQLGENERAL,0,0,0,0,0
MEMORYCLERK_SQLHTTP,0,0,0,0,0
MEMORYCLERK_SQLOPTIMIZER,0,0,0,0,0
MEMORYCLERK_SQLQERESERVATIONS,0,0,0,0,0
MEMORYCLERK_SQLQUERYCOMPILE,0,0,0,0,0
MEMORYCLERK_SQLQUERYEXEC,0,0,0,0,0
MEMORYCLERK_SQLQUERYPLAN,0,0,0,0,0
MEMORYCLERK_SQLSERVICEBROKER,0,0,0,0,0
MEMORYCLERK_SQLSERVICEBROKERTRANSPORT,0,0,0,0,0
MEMORYCLERK_SQLSOAP,0,0,0,0,0
MEMORYCLERK_SQLSOAPSESSIONSTORE,0,0,0,0,0
MEMORYCLERK_SQLSTORENG,640,0,640,0,0
MEMORYCLERK_SQLUTILITIES,240,240,0,0,0
MEMORYCLERK_SQLXML,0,0,0,0,0
MEMORYCLERK_SQLXP,0,0,0,0,0
MEMORYCLERK_TRACE_EVTNOTIF,0,0,0,0,0
MEMORYCLERK_XE,0,0,0,0,0
MEMORYCLERK_XE_BUFFER,4224,4224,0,0,0
OBJECTSTORE_LBSS,0,0,0,0,0
OBJECTSTORE_LOCK_MANAGER,16384,16384,0,0,0
OBJECTSTORE_SECAUDIT_EVENT_BUFFER,0,0,0,0,0
OBJECTSTORE_SERVICE_BROKER,0,0,0,0,0
OBJECTSTORE_SNI_PACKET,0,0,0,0,0
USERSTORE_DBMETADATA,0,0,0,0,0
USERSTORE_OBJPERM,0,0,0,0,0
USERSTORE_SCHEMAMGR,0,0,0,0,0
USERSTORE_SXC,0,0,0,0,0
USERSTORE_TOKENPERM,0,0,0,0,0
