117575457,DeliveryJob,1,38579
2105058535,Session,1,74
85575343,ImageBox,1,65
85575343,ImageBox,2,64
21575115,Page,2,29
117575457,DeliveryJob,15,14
60,sysobjvalues,1,9
54,sysidxstats,1,3
41,syscolpars,1,3
55,sysiscols,1,2
21575115,Page,1,2
34,sysschobjs,1,2
64,sysclsobjs,2,2
2137058649,PLut,1,2
27,sysowners,2,2
34,sysschobjs,2,2
69,sysrts,3,2
53575229,Media,1,1
7,sysallocunits,2,1
54,sysidxstats,2,1
74,syssingleobjrefs,2,1
34,sysschobjs,3,1
74,syssingleobjrefs,1,1
5,sysrowsets,1,1
34,sysschobjs,4,1
